State,Zip Code,Phone,Fax,,,,
MA,2451,781487-6030,781487-6144,,,,
Lake Forrest,IL,60045,847235-2415,847235-2420,,,
IL,62960,618524-21762244,618524-1056,,,,
NY,11783,516266-3456,516266-3490,,,,
NY,13662,315769-4668,315769-4370,,,,
AK,99645,907861-6677,907861-6765,,,,
TX,77414,979241-59663420,979241-5965,,,,
Lawrenceville,GA,30046,404444-5046,877617-2267,,,
TN,37208,615340-1285,615320-9437,,,,
CO,80920,719632-4455,719418-2124,,,,
Kahului,HI,96732,808877-6402,808873-8762,,,
HI,96793,808243-2390,808243-2352,,,,
HI,96793,808442-5846,808242-1940,,,,
TN,38401,931381-11114044,931540-4313,,,,
FL,32095,904562-4884,904600-4581,,,,
PA,17601,717677-2417,412643-3851,,,,
MN,55905,507284-5968,507538-6035,,,,
AZ,85054,480301-8016,480342-4978,,,,
FL,32224,904953-0323,904953-2966,,,,
MN,56031,507238-8184,507238-8677,,,,
MN,55021,507333-3300,507333-3221,,,,
WI,54601,608392-9822,608392-9041,,,,
MN,55041,651345-1163,651345-6724,,,,
WI,54758,715597-8755,507422-1051,,,,
MN,55060,507451-1120,507446-5120,,,,
MN,55066-2198,651267-5258,651267-5907,,,,
WI,54660,608372-5951531,608791-7882,,,,
MN,56093,507781-8276,507781-8158,,,,
WI,54724,715568-6126,715568-6829,,,,
WI,54729,715720-4453,715720-4471,,,,
MN,56001,507594-7770,507594-7775,,,,
MN,56071,952758-443178180,952758-8125,,,,
MN,56081,507375-3391,507375-8674,,,,
WI,54812,715537-6747,715537-9949,,,,
Rice Lake,WI,54868-2239,715537-6747,715537-9949,,,
WI,54650,608392-5000,608791-7882,,,,
WI,54751,715233-7228,715233-7795,,,,
WI,54656,608366-5242,608791-7882,,,,
MN,55912,507434-1402,507434-1468,,,,
MN,55009,507263-9782,507263-9650,,,,
MN,56007,507373-6347,507377-6351,,,,
Jacksonville,FL,32256,904956-8000,904956-8020,,,
WI,53204,414286-6654,414286-6670,,,,
OK,74501,918421-8274,918421-8194,,,,
McAllen,TX,78501,956388-2190,956971-5744,,,
NJ,7424,973837-8100,973638-1300,,,,
IN,46055,317468-4600,317335-5033,,,,
OH,45056,513524-5361,513524-5364,,,,
OK,74745,580208-3157,580208-3265,,,,
VA,23604,757314-77451,757314-7994,,,,
TN,38138,901752-4000,877208-9036,,,,
IL,61455,309833-155013447,309836-1552,,,,
KY,41647,606377-3442,606377-3441,,,,
IA,50130,515239-4436,515239-4761,,,,
IA,51401,712792-1500,712792-7597,,,,
IA,50158,641844-2215,641844-2222,,,,
Eau Claire,WI,54702,715838-3926,715838-6207,,,
WI,54702,715838-3926,715838-3456,,,,
UT,84403,801387-4633,801387-4631,,,,
ND,58854,701842-30008620,701842-2481,,,,
MI,48471,810648-6175,810648-4204,,,,
OR,97477,541726-4694,541744-6069,,,,
MI,48706,989667-6350,989667-6359,,,,
MI,48661,989667-6303,989894-6143,,,,
MI,48858,989309-0103,989779-5272,,,,
Flint,MI,48532,810342-480024824,810342-4839,,,
MI,48912,517913-4088,517913-3801,,,,
Grand Ledge,MI,48837,517626-3106,517626-3105,,,
MI,48446,810667-5760,810667-5741,,,,
MI,48035,586493-3790,586493-3796,,,,
MI,48050,586493-3790,586493-3796,,,,
MI,48043,586493-3790,586493-3796,,,,
MI,48316,586493-3790,586493-3796,,,,
MI,48048,586591-1401,586493-3796,,,,
MI,49770,231487-3100,231487-7885,,,,
MI,49721,231487-4189,231627-1530,,,,
MI,48342,248338-5604,248338-5605,,,,
MI,48371,248338-5608,248922-6811,,,,
MI,48346,248922-6810,248922-6811,,,,
MI,48060,810985-2663,810989-3174,,,,
OH,43537,419893-4856,419893-8978,,,,
MI,48430,810496-2430,810342-4839,,,,
SC,29569,843716-7512,843716-7542,,,,
SC,29520,843777-2095,843537-8113,,,,
SC,29102,803435-3121,803435-3124,,,,
SC,29536,843774-1280,843487-1680,,,,
SC,29506,843777-2095,843777-6333,,,,
SC,29566,843390-8265,843390-8170,,,,
McPherson,KS,67460,620241-22501452,620241-8253,,,
AR,71730,870862-4624,870862-4626,,,,
CA,96001,530243-1249,530243-0372,,,,
FL,34209,941747-3034,941748-5819,,,,
ME,4609,207288-50821535,207288-8436,,,,
GU,96913-3644,671648-6390,671648-6398,,,,
KS,67864,620873-5589,620873-5521,,,,
KY,41056,833248-1274,606759-5259,,,,
PA,16335,814333-5143,814373-3525,,,,
FL,34698-0760,727298-6045,727734-6462,,,,
AL,36066,334358-1666,334777-1811,,,,
PR,00716-1115,787843-9393252,787841-0077,,,,
PR,624,787843-93931216,787841-0077,,,,
PA,19063,610627-4360,610627-4361,,,,
Moline,IL,61265,309779-4295,309779-4308,,,
NM,88201,505624-8761,575627-4062,,,,
TX,78028,830257-4777,830896-6767,,,,
NY,11755,631652-3424,631390-0041,,,,
Dubuque,IA,52001,563584-3384,563584-3129,,,
RI,2809,401253-8900237,401253-7547,,,,
TN,37643,426929-2584535,423722-2060,,,,
Johnson City,TN,37601,423431-0315,423722-2060,,,
AL,36027,334688-7070,334688-7080,,,,
AL,36330,334339-8780,334348-8859,,,,
AR,717301998,870864-3366,870864-3593,,,,
FL,33012,305557-4424,305557-4426,,,,
TX,76086,817594-8239,817594-7326,,,,
TX,77005,713526-55114500,713520-4728,,,,
,Arlington,TX,76017,817505-1777,817419-4471,,
Poughkeepsie,NY,12603,845471-2848,845471-2919,,,
Wappingers Falls,NY,12590,845471-2848,845471-2919,,,
FL,32405,850784-0545,850215-4045,,,,
Houston,TX,77062,713344-1514,713344-1433,,,
NC,28304,910323-2209,910323-9680,,,,
CA,90403,310829-97882279,310696-0102,,,,
Omaha,NE,68128,402592-0711,402934-9242,,,
Fredericksburg,VA,22408,540741-9729,540741-7592,,,
VA,22485,540741-9729,540709-5179,,,,
New York,NY,10065,212794-2500,212879-3846,,,
NC,27518,919350-2522,919350-2652,,,,
Bessemer,AL,35022,205481-7170,205481-7971,,,
PR,698,787856-2157,787856-2157,,,,
PR,716,787840-5090,787840-5090,,,,
PR,736,787738-4592,787694-7039,,,,
PR,791,787403-4787,787745-9637,,,,
PR,726,787743-1563,787745-9637,,,,
OH,44256,330721-5170,330721-5888,,,,
NY,14103,585798-8054,585798-8150,,,,
TX,78861,830426-7719,830426-7904,,,,
Fountain Valley,CA,92708,714968-89987213,714968-8628,,,
DC,20007,202444-3315,202444-7081,,,,
MD,21239,443444-4339,443444-4656,,,,
MD,21225,410350-3303,410350-3266,,,,
Hollywood,MD,20636,301373-7300,301373-6300,,,
MD,20603,240448-2949,240448-2950,,,,
MD,21015,443625-5430,443356-4092,,,,
DC,20016,202686-1316,202244-1391,,,,
DC,20036,443252-0396,202350-9512,,,,
MD,20735,301877-5588,301868-2298,,,,
MD,20832,301260-3301,301260-3302,,,,
MD,20650,240434-7328,240434-7621,,,,
MD,21218,410554-2728,410554-6586,,,,
Southlake,TX,76092,817329-8910,817329-8911,,,
MN,55355,320693-4519,320693-4540,,,,
Nashville,TN,37208,615963-3133,615963-3129,,,
Huntsville,AL,35801,256539-0085,256539-0082,,,
CO,80734,970854-22412101,970854-4370,,,,
Melrose,MA,2176,781665-83000,781662-7887,,,
Stoneham,MA,2180,781224-5806,781224-5807,,,
MI,49431,231845-5332,231845-5233,,,,
Fountain Valley,CA,92708,714378-7955,714378-7954,,,
NE,68008-1199,402426-1166,402426-1483,,,,
MI,48867,989725-8847,989725-9958,,,,
MS,39532,228867-4395,228867-4029,,,,
MS,39525,228865-3576,228867-4029,,,,
NE,68434-0099,402643-29711027,402646-4671,,,,
GA,30474,912535-5783,912535-5058,,,,
GA,30474,912535-7100,912535-7120,,,,
KS,67410,785263-21006663,785263-6653,,,,
MS,39502-1810,228865-3576,228867-4029,,,,
MI,48867,989729-48763200,989729-6150,,,,
NM,88011,575521-5270,866278-6782,,,,
TX,77065,281897-1712,281897-1710,,,,
TX,77059,832658-5121,832658-5130,,,,
Houston,TX,77030,713704-9536,713704-9072,,,
Katy,TX,77494,281644-7914,281644-7925,,,
TX,77584,713383-4933,713383-4926,,,,
TX,77479,281725-5319,281725-5919,,,,
TX,77008,713456-5576,713867-2458,,,,
TX,77345,281359-4442,281913-3492,,,,
TX,77074,713456-5150,713456-5599,,,,
TX,77098,713363-2471,713807-7039,,,,
TX,77024,713242-3480,713242-2056,,,,
TX,77379,713897-4194,713897-2040,,,,
TX,77433,346231-6800,346231-6801,,,,
The Woodlands,TX,77380,281897-2794,281897-2060,,,
TX,77573,281337-9730,281337-9737,,,,
TX,77089,281929-4478,281929-6340,,,,
TX,77338,281540-73907995,281913-3492,,,,
IL,62226,618257-4949,618624-4862,,,,
IL,62233,618826-45811224,618826-3361,,,,
OH,43040,937578-2377,937578-2809,,,,
IL,62321,217357-8668,217357-8663,,,,
NE,68818,402694-8258,402694-3177,,,,
NH,3860,603356-54617502,603356-8880,,,,
IN,47546,812996-8550,812996-0103,,,,
GA,39819,229246-3500456,229243-3325,,,,
OH,43420,419334-6605,419334-6638,,,,
IL,62269,618607-1203,618624-4862,,,,
IL,62269,618257-4949,618624-4862,,,,
CA,93635,209826-059150395,209827-1201,,,,
WY,82301,307324-8381,307324-8382,,,,
WY,82633,307358-1438,307358-1489,,,,
WI,53530,608776-5726,608776-5784,,,,
TX,77351,936329-8570,936329-8262,,,,
WY,82901,307352-8386,307352-8151,,,,
OH,43040,937578-2377,937578-2809,,,,
IN,46530,574647-2901,574647-2910,,,,
TX,77979,361552-0250,361552-0418,,,,
WI,54806,715685-5415,715685-5423,,,,
TX,75972,936275-3446244,936275-2621,,,,
TX,75150,713461-3399304,713554-1402,,,,
TX,77498,713461-3399304,713461-1969,,,,
Houston,TX,77055,713461-3399304,,,,
Katy,TX,77449,713461-3399,713554-1402,,,
Tomball,TX,77375,713461-3399,713461-1969,,,
IN,46601,574647-7519,574647-1818,,,,
VA,23116,804764-6513,804764-6039,,,,
GA,31501,912287-26507155,912287-2653,,,,
NJ,7748,848225-6035,201691-6697,,,,
NY,11725,631623-4300,631864-3092,,,,
NJ,7920,908542-3000,908542-3211,,,,
NJ,7645,201775-7000,201691-6645,,,,
NY,11553,516559-1157,516515-5954,,,,
NY,10604,914367-7000,914298-3405,,,,
NY,10065,646227-3700,646888-5135,,,,
OH,43078,937578-2377,937578-2809,,,,
CA,92653,949452-7200,949380-4513,,,,
Irvine,CA,92604,949425-7200,949699-0532,,,
,Rancho Mission Viejo,CA,92694,949452-7200,949699-0532,,
,Irvine,CA,92618,949452-7200,949699-0532,,
Huntington Beach,CA,92648,714378-7556,714378-7407,,,
Los Alamitos,CA,90720,562933-7880,562933-7807,,,
Newport Beach,CA,92660,714378-7955,714378-7474,,,
Memphis,TN,38126,901261-7384,901261-2037,,,
TN,38120,901767-8442,901684-6260,,,,
Bartlett,TN,38133,901373-9221,901202-5995,,,
Germantown,TN,38138,901755-8696,901755-7232,,,
Southaven,MS,38671,662349-5554,662349-5570,,,
AR,71953,479394-6100,479243-4598,,,,
IL,61342,815539-1403,815539-1463,,,,
Aibonito,PR,705,787735-80011345,787954-8035,,,
KS,66209,913498-6266,913498-7899,,,,
Los Banos,CA,93635,209710-5630,209826-2921,,,
OH,45828,419678-5111,419678-5237,,,,
Hamilton,NJ,8619,609581-2727,609581-3772,,,
MO,65613,417885-3492,417885-3491,,,,
OK,73120,405752-35002,405936-5217,,,,
St. Louis,MO,63141,314251-6300,314251-5892,,,
MO,65804,417820-2395,417820-8155,,,,
MO,63011,636256-5340,636256-5343,,,,
MO,65804,417820-2395,417820-8155,,,,
IL,60653,773451-0922,773451-0730,,,,
PA,19023,610237-2525,610237-2550,,,,
AR,72712,479338-2797,479986-6115,,,,
NY,14204,716828-2373,716819-2420,,,,
NY,14224,716828-2373,716677-5021,,,,
NY,14052,716828-2373,716655-2215,,,,
Elyria,OH,44035,440324-32262621,440324-5936,,,
OK,73013,405752-3500,405757-3496,,,,
WI,53545,608741-6999,608756-6688,,,,
OH,45014,513870-7304,513603-8169,,,,
Cincinnati,OH,45255,513956-3729,513624-4361,,,
OH,45044,513981-4109,513981-4120,,,,
OH,44646,330489-1493,330489-1298,,,,
OH,45103,513956-3729,513732-8686,,,,
MI,49444,231727-7947,231724-7844,,,,
OH,43512,419783-3239,419783-3204,,,,
OH,45245,513782-9033,513782-9031,,,,
MI,49444,231672-62466246,231672-3006,,,,
OH,45150,513831-4425,513831-4536,,,,
MI,49455,231861-3008,231861-3006,,,,
OH,44408,330482-9350,330482-9402,,,,
Lorain,OH,44053,440960-3522,440960-3753,,,
IL,61073,815971-2299,815971-9753,,,,
OH,44484,330841-4882,330841-4308,,,,
OH,43078,937328-8100,937342-5450,,,,
Lima,OH,45801,419226-4500,419226-4501,,,
OH,44074,440775-9120,440775-9184,,,,
OH,45833,419226-4500,419226-4501,,,,
Irvine,KY,40336,606726-2106,606726-2175,,,
OH,45848,419226-4500,419226-4501,,,,
OH,43623,419407-1770,419407-3862,,,,
Oregon,OH,43616,419696-7900,419696-7431,,,
OH,45895,419996-5899,419941-1160,,,,
OH,44883,419455-7870,419455-7413,,,,
OH,45211,513956-3729,513981-6108,,,,
OH,44890,419455-7870,419933-7173,,,,
Youngstown,OH,44501,330480-2654,330480-2097,,,
Rockville Centre,NY,11570-9024,516705-1300,516705-3028,,,
FL,33133,305854-44003020,305285-2946,,,,
OK,74820,580421-6089,580421-6095,,,,
OK,73401,580220-6245,844936-5798,,,,
MO,65605,417678-7880,417678-7828,,,,
AR,72616,870423-5263,870423-5227,,,,
IA,52245,319339-3948,319358-2679,,,,
MO,64836,417359-1320,417237-7283,,,,
Fort Smith,AR,72903,479314-5264,479314-5299,,,
AR,72917,479314-5264,479314-5299,,,,
MO,65625,417847-6015,417847-6016,,,,
MO,64804,417556-2273,417659-6399,,,,
OK,73750,405375-7821,405375-7932,,,,
MO,65536,417533-6026,417533-6001,,,,
Rolla,MO,65401,573458-6625,573458-6628,,,
MO,63379,636528-3488,636528-3487,,,,
OK,73044,405260-4201,405260-4202,,,,
OK,73135,405752-35002,405936-5217,,,,
Washington,MO,63090,636239-82500,636390-7484,,,
MO,63080,636239-82651,573468-1621,,,,
MO,63090,636390-1771,636390-1772,,,,
CA,95608,916434-7600,916966-5063,,,,
Hazelwood,MO,63042,314251-6300,314919-2779,,,
MO,63366-3988,314467-3864,314467-3861,,,,
MO,63128,314467-3864,314467-3861,,,,
MO,63028,636933-1234,636933-5740,,,,
MO,63119,314525-1300,314752-7225,,,,
CA,96067,530926-7158,530926-3032,,,,
OH,43551,567368-1027,567368-1073,,,,
IA,52403,319398-6359,319398-6959,,,,
WI,54904,920236-1880,920236-1881,,,,
IA,52040,563875-2952,563875-2957,,,,
Roseburg,OR,97471-2752,541677-4418,541677-4518,,,
CO,81301,970764-2525,970764-2520,,,,
MO,63128,314525-1300,314525-4969,,,,
MO,65548,417934-7156,417934-7089,,,,
WI,53147,262245-2240,262245-7710,,,,
IL,60098,877976-3729,815337-4298,,,,
IL,61114,815971-2299,815971-9959,,,,
OH,44512,330729-3145,330729-3102,,,,
IA,50021,515247-4444,515643-8867,,,,
IA,50613,319268-3060,319268-3326,,,,
IA,52544,641437-3462,641437-3497,,,,
IA,50125,515247-4444,515643-8867,,,,
IA,52732,563244-5035,563244-5957,,,,
IA,52732,563243-25116705,563243-6270,,,,
IA,50325,515247-4444,515643-8867,,,,
SD,57049,605232-6200,605235-0004,,,,
IA,50314,515247-4444,515643-8867,,,,
IA,52001,563589-9040,563589-9079,,,,
IA,52043,563245-7037,563245-7077,,,,
IA,50659,515394-4121,515394-1685,,,,
IA,50208,641791-4310,641792-0325,,,,
NE,68045,402685-7513,402685-7578,,,,
Oelwein,IA,50662,319283-6055,319283-6269,,,
IA,51101,712279-2046,712279-5619,,,,
IA,50702,319272-7039,319272-0045,,,,
Branford,CT,6405,203315-3326,203483-8322,,,
West Hartford,CT,6107,860236-6517,860233-4823,,,
CT,6492,203694-8405,203694-7652,,,,
IN,46208,317925-0811,866681-8178,,,,
MS,39204,601376-1748,601376-1742,,,,
LA,71373,318336-2220,318336-6060,,,,
MS,39046,601855-4511,601855-4330,,,,
MS,39120,601443-2230,601443-2188,,,,
MS,34902,601296-3400,601261-6755,,,,
MS,39232,601933-6426,601936-9500,,,,
NE,68826,308946-3015220,308946-5536,,,,
NV,89027,702345-4265,702345-4221,,,,
TX,75204,972920-0100,214778-0102,,,,
TX,75070,972920-01200,214592-0035,,,,
Omaha,NE,68114,402354-40011,402354-3211,,,
IN,46375,219981-5440,219864-2910,,,,
TX,75115,214420-5400,214420-5401,,,,
TX,75237,214947-5490,214947-5499,,,,
TX,79410-1894,806725-7908,806723-6034,,,,
TN,38138,901516-9000,901922-6797,,,,
TN,38104,901516-9000,901722-3137,,,,
MS,38671,662996-2122,662996-2101,,,,
TX,79410,806792-4444,806791-6733,,,,
NE,68025,402727-3731,402727-3513,,,,
NE,68022,402354-4001,402815-1070,,,,
TX,78026,830769-5258,830769-5228,,,,
TN,38116,901516-3056,901516-3183,,,,
PA,19148,215952-1234,215952-1407,,,,
TX,79336,806894-4963,806894-7047,,,,
TN,38128,901516-9000,901516-5581,,,,
IN,46402,219981-5440,219738-6685,,,,
TX,79072,806291-3331,806296-4293,,,,
TX,76065,469846-2079,469846-2066,,,,
TX,75203,214947-291372913,214947-2980,,,,
TX,75082,469204-2140,214947-8572,,,,
IA,51503-4626,712396-6224,712396-6286,,,,
IA,51503,712396-7600,712396-6286,,,,
TX,76063,682662-2724,682622-7250,,,,
IN,46217,317865-6788,317865-6672,,,,
NE,68114,402354-4001,402354-0950,,,,
NE,68114,402354-1430,402354-1585,,,,
TX,75025,972920-0120,972592-0035,,,,
OH,44130,216957-4726,216778-4072,,,,
MO,63141,314993-9555,314432-0178,,,,
MO,63031,314333-6742,314432-0178,,,,
MO,63117,314333-5777,314333-5888,,,,
St. Louis,MO,63128,314843-5888,314843-1905,,,
MO,63376,636498-4555,314432-0178,,,,
PR,603,787296-977821111,787296-9785,,,,
PR,00613-9976,787650-0020255,787650-0097,,,,
PR,954,787772-9850,787274-8895,,,,
Carolina,PR,987,787710-9860248,787710-9871,,,
PR,784,787592-7180,787813-1144,,,,
PR,717,787844-8529,787813-1144,,,,
San Juan,PR,910,787641-16163096,787268-2904,,,
Beachwood,OH,44122,216957-9959,216778-4072,,,
OH,44105,216995-4726,216778-4072,,,,
OH,44109,216957-2778,216778-4072,,,,
OH,44135,216957-2778,216778-4072,,,,
NY,10029,212423-8352,212423-8398,,,,
MA,1702,508383-8400,508383-8521,,,,
MA,1701,508383-8400,508383-8470,,,,
Mexia,TX,76667,254562-5332,254562-2392,,,
Tyler,TX,75703,903606-5433,903606-1160,,,
TX,75771,903606-5433,903606-1160,,,,
TX,75103,903606-5433,903510-1160,,,,
Tyler,TX,75702,903606-5433,903606-1160,,,
TX,75766,903531-5433,903510-1160,,,,
MA,2151,781485-6180,781485-6188,,,,
MA,1923,978882-6161,978882-6141,,,,
TN,37814,423492-9001,423492-6501,,,,
Omaha,NE,68114,402354-40011,402354-3211,,,
FL,33176,786662-4778,786662-4806,,,,
KS,66071,913294-6611,913294-6634,,,,
OH,45424,937236-4780,937236-4855,,,,
Dayton,OH,45409,937208-2080,937208-2829,,,
OH,45434,855887-73641,937208-7657,,,,
OH,45415,937734-7768,937734-5851,,,,
OH,45459,937208-20802,937438-3794,,,,
ME,4011,207373-6630,207373-6541,,,,
NY,10956,845634-9729,845634-6442,,,,
Omak,WA,98841,509826-17602010,509826-7644,,,
VA,23454-2437,757228-1600,757228-1727,,,,
VA,23456,757301-2500,757301-2003,,,,
VA,23601,757223-5059,757223-5664,,,,
VA,23434,757290-6190,757461-3897,,,,
Norfolk,VA,23502,757461-6131,757461-3897,,,
Chesapeake,VA,23320,757312-8403,757312-8314,,,
OR,97058,541298-40007255,541296-7622,,,,
NY,12601-1399,845483-5274,845483-5797,,,,
MI,48624,989246-6488,989246-6484,,,,
CA,91405,818627-3115,818902-4474,,,,
CO,80446,970887-5886,970887-5804,,,,
TN,37129,615896-12343325,615896-7171,,,,
NY,11374,718507-4700,718397-0422,,,,
KY,40965,606242-1193,606242-1221,,,,
CT,6457,860358-2600,860358-2626,,,,
CT,6447,860358-2600,860358-2626,,,,
CT,6457,860358-2600,860358-2626,,,,
Westbrook,CT,6498,860358-2535,860358-2539,,,
DE,19709,302378-1199,302376-1590,,,,
Middletown,NY,10940,845342-47744108,845342-2520,,,
Middletown,NJ,7748,732275-0999,732275-0979,,,
TX,79701,432699-2370,432697-3524,,,,
MI,48629,989422-2171,989422-2623,,,,
MI,48801,989466-3343,989466-7250,,,,
MI,48661,989343-3200,989343-3237,,,,
MI,48617,989802-5194,989802-8425,,,,
MI,48640,989837-9066,989837-9065,,,,
CT,6451,203694-8405,203694-7652,,,,
FL,33411,561697-3001,561697-3284,,,,
FL,33127,786375-66003117,305573-0186,,,,
MO,63141,314567-4449,314567-0762,,,,
IL,60077,847673-3130,847673-3183,,,,
NE,68701,402379-2322,402379-0888,,,,
IL,61036,815777-6135,815777-1565,,,,
Burnsville,MN,55337,952898-2333,952898-6270,,,
,Coon Rapids,MN,55433,763786-9460,763795-0710,,
Zion,IL,60099,800458-1975,847872-3353,,,
Mayaguez,PR,680,787831-5800,787832-0740,,,
,Las Vegas,NV,89191-6601,702653-2150,702653-2515,,
TN,38358,731686-5100,731723-3464,,,,
SD,57252,605432-3350,605432-5220,,,,
WI,53948,608847-18294769,608847-3841,,,,
MA,2038,508422-2665,508482-7303,,,,
MA,1757,508422-2665,508482-7303,,,,
Erie,PA,16509,814868-7890,814868-2135,,,
MN,56359,320532-2550,320532-2579,,,,
GA,31061,478453-8511,478295-3560,,,,
MI,48334,248945-0000,248945-1819,,,,
Miami,FL,33165,305229-9511,305229-9112,,,
FL,34102,855674-4624,941883-8386,,,,
FL,33950,855674-4624,941249-4190,,,,
FL,33912,855674-462415623,941249-4190,,,,
FL,33990,855674-4624,941249-4170,,,,
FL,33948,855674-4624,941255-8671,,,,
GA,39837-3518,229758-4946,229758-5919,,,,
ME,4462,207723-5161226,207723-6498,,,,
CA,94401,650696-4140,650696-4159,,,,
NM,88030,575546-5872,575543-6920,,,,
LA,71055,318371-2166,318371-7858,,,,
MT,59872,406822-3705171,406822-4961,,,,
ID,83350,208436-8143,208436-8015,,,,
Marina del Rey,CA,90292,310358-2175,310861-8140,,,
Maplewood,MN,55109,651600-3035,877550-8437,,,
WV,26147,304354-92445117,304354-5958,,,,
CA,90247-3583,310818-2010,310846-4305,,,,
CA,90017,213223-5050,310923-9912,,,,
CO,80528,970225-5023,970482-9646,,,,
CO,80134,303805-5528,678905-0947,,,,
NC,28801,828213-9729,828213-9329,,,,
NC,28803,828213-9729,828213-9329,,,,
Asheville,NC,28806,828670-1876,828670-1438,,,
TX,78572,956323-1700,956323-1705,,,,
NC,28752,828659-5165,828659-5161,,,,
Clyde,NC,28721,828213-9729,828213-0889,,,
MO,63080,573468-4151,573468-1364,,,,
Sunset Hills,MO,63127,314525-0505,314525-0507,,,
MO,63801,573472-73307330,573472-7735,,,,
GA,31730,229336-4653,229336-4681,,,,
KS,67420,785738-9554,785738-9212,,,,
IA,50461,641732-6017,641732-6038,,,,
AL,36467,334493-35411372,334493-5519,,,,
PA,19342,484227-3075,484227-3791,,,,
,Milwaukee,WI,53212,414372-80802026,414464-6245,,
AL,35768,256574-2883,256259-9397,,,,
UT,84532,435719-3794,435719-3769,,,,
MO,65270,660269-2990,660269-2931,,,,
OH,45069,513584-5356,513584-3633,,,,
Mobile,AL,36608,251633-0793148,251633-0736,,,
SD,57601,605845-8175,605845-8248,,,,
CA,95350,209524-680013100,209524-1286,,,,
CA,95350,209577-4444,209522-2984,,,,
FL,33607,813745-1600,813449-8548,,,,
FL,33612,813745-8410,813745-4718,,,,
Rome,NY,13441,315334-9729,315334-1185,,,
HI,96748,808553-3132,808553-3135,,,,
WV,26554,304366-6100,304366-2220,,,,
NH,3458,603924-46994264,603924-1715,,,,
SC,29207-5700,803751-2444,803751-0254,,,,
Rostraver Township,PA,15012,724379-1900,724379-1901,,,
Monongahela,PA,15063,724258-1216,724258-1290,,,
WV,26505,304285-2250,304598-1677,,,,
WI,53566,608324-1183,608324-1208,,,,
IL,61032,815233-0999,815233-7255,,,,
GA,31029,478394-6285,478974-0854,,,,
AL,36460,251743-7468,251743-7356,,,,
IA,52531,641932-21341720,641932-1662,,,,
KY,42167,270487-92311182,270487-6033,,,,
LA,71201,318812-9517,318812-9571,,,,
IN,47403,812825-0818,812825-0787,,,,
PR,983,787762-3850,787257-3979,,,,
Montclair,NJ,7042,973509-1818,973509-0532,,,
West Caldwell,NJ,7006,973439-9729,973439-6885,,,
Montclair,NJ,7042,973746-2525,973746-5802,,,
Nutley,NJ,7110,973661-4674,973284-0269,,,
NJ,7306,973661-4674,973439-6885,,,,
,Bronx,NY,10467,866662-9729,718658-5402,,
NY,10461,718405-8115,718405-8180,,,,
NY,10704,914964-4118,914375-0916,,,,
NY,10462,718409-8950,718409-8961,,,,
NY,10451,718579-2500,718410-0834,,,,
NY,10550,914664-80006051,914664-0456,,,,
NY,10801,914365-4618,914365-5252,,,,
NY,10960,845348-8551,845348-8596,,,,
PR,926,787708-5000,787708-5010,,,,
UT,84534,435651-3751,435678-0499,,,,
AL,36106,334387-1120,334387-1121,,,,
IA,51566,712623-7164,712623-6465,,,,
WV,25136,304442-7417417,304442-1347,,,,
CO,81401,970252-2540,970252-2541,,,,
FL,32225,904855-0700,904855-0739,,,,
SD,57730,605673-9434,605673-9567,,,,
SD,57732,605717-6113,605717-6138,,,,
SD,57783,605717-85958674,605717-8465,,,,
Rapid City,SD,57701,605755-3300,605755-3145,,,
SD,57783,605644-4056,605644-4058,,,,
SD,57785,605720-2510,605720-0339,,,,
IN,46032,317559-3320,317559-3321,,,,
TX,79029,806935-7171,806934-0094,,,,
LA,71220,318283-3860,318239-8860,,,,
KY,41472,606743-31861113,606743-4593,,,,
CA,95037,408782-2570,408778-6497,,,,
GA,30650,706752-2169,706342-1718,,,,
KS,66846,620767-6811121,620767-5611,,,,
IL,60450,815942-4105,815941-1568,,,,
IL,60416,815705-7131,815941-1568,,,,
IL,61350,815942-4105,815942-0713,,,,
IL,60410,815942-29327130,815941-1568,,,,
NY,10452,718960-2701,718960-2707,,,,
IL,61270-3042,815772-5546,815772-5589,,,,
NJ,7962,973971-5321,973290-7325,,,,
OH,43338,419949-3090,419949-3141,,,,
OK,74106,918295-6137,918587-4534,,,,
Middleboro,MA,2346,508828-7690,508946-9833,,,
MA,2780,508828-7690,508828-7988,,,,
TN,37909,865281-5960,865281-5961,,,,
MO,64507,816271-12781820,816271-6632,,,,
MO,64468,660562-790724633,660562-7956,,,,
MO,64402,660726-394161226,660726-3944,,,,
PA,16866,814768-2276,814768-2837,,,,
MA,2452,781314-7650,781314-7676,,,,
MA,2138,617499-5407,617499-5434,,,,
Arlington,MA,2476,617499-5407,617499-5434,,,
Cambridge,MA,2138,617499-6789,617499-6779,,,
OH,43035,614234-7400,380898-8524,,,,
OH,43123,614663-2936,614663-2913,,,,
Westerville,OH,43081,614234-7400,380898-8524,,,
PA,16803,814234-6752,814231-7351,,,,
SC,29466,843402-5000,843606-7927,,,,
NY,11201,929210-6068,646537-1486,,,,
Greenlawn,NY,11740,631628-5000,631628-5708,,,
NY,10011,212604-6009,212367-1707,,,,
NY,10003,212844-8776,212844-8795,,,,
IL,60608,773257-4040,773257-2666,,,,
NY,10029,212824-7700,212824-2323,,,,
New York,NY,10029,212241-3300,646537-8611,,,
FL,33040-3934,305295-6790,305602-8455,,,,
NY,10029-6574,844396-2666,212824-2323,,,,
NY,10025,212523-2467,212523-2888,,,,
New York,NY,10019,212523-7049,212523-6019,,,
